MultiClassTsetlinMachineParallel,Parallel,Epoch1,Epoch2,Epoch3,Epoch4,Epoch5,Epoch6,Epoch7,Epoch8,Epoch9,Epoch10,Epoch11,Epoch12,Epoch13,Epoch14,Epoch15
Settings:
Clauses:,320.0
Threshold:,80.0
S:,80.0
90_100T_9x9Aya_Draw0,,88.1816,88.7053,89.1119,89.3444,89.2843,89.3379,89.5185,89.4225,89.6420,89.6567,89.7754,89.6518,89.8356,89.6404,89.8144
90_100T_9x9Aya_Draw1,,88.1050,88.9686,89.1719,89.3264,89.3199,89.5215,89.6712,89.6256,89.8305,89.7134,89.7687,89.8875,90.0046,89.8192,89.8305
90_100T_9x9Aya_Draw2,,88.4465,88.9686,88.9442,89.1296,89.3622,89.5150,89.6256,89.5898,89.7362,89.8696,89.8240,89.7883,89.8647,89.6516,89.7330
90_100T_9x9Aya_Draw3,,88.1831,88.8547,88.8417,89.2142,89.2727,89.3459,89.6695,89.7411,89.5654,89.7313,89.8598,89.9086,89.8875,89.6988,89.9314
90_100T_9x9Aya_Draw4,,88.4854,88.8643,89.1375,89.3620,89.1831,89.5555,89.5376,89.8743,89.6043,89.6547,89.8352,89.7865,89.7832,89.6157,89.9101
90_100T_9x9Aya_Draw5,,88.4919,88.9017,89.2156,89.3408,89.4222,89.5360,89.5880,89.5441,89.7247,89.8222,89.8239,89.9036,89.6645,89.8206,89.9621
90_100T_9x9Aya_Draw6,,88.1290,88.6657,89.2333,89.0642,89.2106,89.4073,89.6074,89.3244,89.6318,89.6058,89.7050,89.8091,89.6887,89.7391,89.7456
90_100T_9x9Aya_Draw7,,88.3242,88.7942,89.1178,89.3829,89.4366,89.5033,89.7944,89.8644,89.6480,89.7944,89.6903,89.8400,89.9863,90.0075,89.9294
90_100T_9x9Aya_Draw8,,88.2429,88.4006,89.0414,89.2642,89.2691,89.4415,89.5212,89.3797,89.6074,89.7212,89.8530,89.7928,89.6871,89.6822,89.7505
90_100T_9x9Aya_Draw9,,88.2949,88.6722,89.1341,89.3309,89.3748,89.4887,89.5261,89.5391,89.6611,89.7212,89.5440,89.7424,89.7473,89.9310,89.8497
mean,,88.2884,88.7796,89.0949,89.2760,89.3135,89.4653,89.6059,89.5905,89.6651,89.7291,89.7679,89.8110,89.8149,89.7606,89.8457
Single/k-Fold/Average/Last10,,90.0075,89.8457,89.4539,89.7056
Boost:,True