MultiClassTsetlinMachineParallel,Parallel,Epoch1,Epoch2,Epoch3,Epoch4,Epoch5,Epoch6,Epoch7,Epoch8,Epoch9,Epoch10
Settings:
Clauses:,320.0
Threshold:,80.0
S:,40.0
9x9Natsukaze_Draw0,,71.4056,72.4326,72.7496,72.6953,72.9189,72.6171,72.5607,73.0275,72.9558,72.6953
9x9Natsukaze_Draw1,,71.4788,72.2192,71.6286,72.7294,72.6187,72.6752,72.5557,72.7707,72.4320,72.5666
9x9Natsukaze_Draw2,,71.7307,72.0781,72.9162,73.1767,72.6600,72.9922,72.7208,72.9856,72.6947,72.9379
9x9Natsukaze_Draw3,,71.4934,72.4640,72.1057,73.0415,72.6898,72.9351,72.3185,72.3511,72.9112,73.0372
9x9Natsukaze_Draw4,,71.9407,72.2077,72.5096,72.4444,73.1935,72.8852,73.0133,73.5974,72.9243,72.9134
9x9Natsukaze_Draw5,,71.6476,72.3901,72.1491,72.6420,72.8048,73.2804,72.5443,72.5486,72.8765,73.2434
9x9Natsukaze_Draw6,,71.8126,72.3554,72.0818,72.6159,72.8960,72.5573,72.1187,72.5769,72.8439,72.8939
9x9Natsukaze_Draw7,,71.1525,72.6854,72.5747,72.5356,72.4857,72.7962,72.5508,72.9243,73.0502,72.6833
9x9Natsukaze_Draw8,,71.6845,72.0796,72.5182,72.6876,72.8700,72.9937,72.8309,72.7332,73.1240,72.7158
9x9Natsukaze_Draw9,,71.6578,72.4807,72.4894,72.8911,73.2494,73.0084,72.9671,73.0084,72.7196,72.5871
mean,,71.6004,72.3393,72.3723,72.7460,72.8387,72.8741,72.6181,72.8524,72.8532,72.8274
Single/k-Fold/Average/Last10,,73.5974,72.8741,72.5922,72.5922